Entreprise,Secteur,Département,Ville,Adresse,Email,Téléphone,Lien Google Maps,Note Google,Nombre Avis,Potentiel Budget,Site Web,Nb Avis +,Nb Avis -,Thèmes Positifs,Thèmes Négatifs,Résumé Avis +,Résumé Avis -,Description GMB,Note Prospection
CM Conciergerie,Location saisonnière gestion,30,Nîmes,"6 Rue des Marronniers, 30000 Nîmes, France",NON TROUVÉ,06 15 34 07 79,📍 Voir sur Maps,4.8,20,MOYEN,AUCUN,5,0,"disponible, recommande, agréable, excellent",—,"J'ai passé un séjour merveilleux dans cet appartement. L'endroit est magnifique, très bien entretenu et décoré avec goût. L'accueil a été exceptionnel, avec des hôtes chaleureux et disponibles pour répondre à toutes nos …",,,"CM Conciergerie : 20 avis Google | ✅ Force : disponible, recommande, agréable, excellent | 🔥 0 site web → perd des mandats chaque jour"
À la bonne sonnette - Conciergerie,Location saisonnière gestion,68,Mulhouse,"4 Rue Poincaré, 68100 Mulhouse, France",NON TROUVÉ,06 83 80 60 24,📍 Voir sur Maps,5.0,20,MOYEN,AUCUN,5,0,"recommande, qualité, service, agréable",—,"Nous avons confié notre appartement à ""À la bonne sonnette"" en ne sachant pas si cela allait fonctionner niveau locations et en étant une première expérience avec une conciergerie ! Et franchement rien à dire, tout est f…",,,"À la bonne sonnette - Conciergerie : 20 avis Google | ✅ Force : recommande, qualité, service, agréable | 🔥 0 site web → perd des mandats chaque jour"
Boostmyflat Conciergerie Airbnb Marseille,Location saisonnière gestion,13,Marseille,"25 Bd du Collet, 13008 Marseille, France",NON TROUVÉ,07 67 09 99 85,📍 Voir sur Maps,5.0,19,À QUALIFIER,AUCUN,5,0,"sérieux, recommande, confiance, service",—,"On m’a recommandé les services de Boostmyflat à Marseille pour la gestion locative de mon bien sur Airbnb. Un grand merci à Marina pour son professionnalisme, sa réactivité et son sens du détail.  L’accompagnement est sé…",,,"Boostmyflat Conciergerie Airbnb Marseille : 19 avis Google | ✅ Force : sérieux, recommande, confiance, service | 🔥 0 site web → perd des mandats chaque jour"
Conciergerie Montpellier Hostnfly,Location saisonnière gestion,34,Montpellier,"11 Rue Cité Benoît, 34000 Montpellier, France",NON TROUVÉ,06 13 20 38 83,📍 Voir sur Maps,5.0,18,À QUALIFIER,AUCUN,5,0,"excellent, recommande, réactif, écoute",—,"Nous avons passé un excellent séjour dans le logement de Timothé et ses associés. Location  confortable, calme et bien située. Je remercie encore Timothé de sa serviabilité !… | Merci à Monsieur Colombier de m’avoir auss…",,,"Conciergerie Montpellier Hostnfly : 18 avis Google | ✅ Force : excellent, recommande, réactif, écoute | 🔥 0 site web → perd des mandats chaque jour"
Cléa Immobilier,Agent immobilier,51,Reims,"6 Bd de la Paix, 51100 Reims, France",NON TROUVÉ,06 68 64 70 11,📍 Voir sur Maps,5.0,17,À QUALIFIER,AUCUN,5,0,"disponible, recommande, écoute, professionnel",—,"Cléa a été particulièrement à l’écoute durant toute la phase de recherche , et à été disponible tout du long, même si des parfois j’ai un peu abuser, ayant des horaires atypiques de par mon travail dans le monde de la nu…",,,"Cléa Immobilier : 17 avis Google | ✅ Force : disponible, recommande, écoute, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Suisse Immo L'ISLE-SUR-LE-DOUBS,Mandataire immobilier,25,Besançon,"Rue du Magny, 25250 L'Isle-sur-le-Doubs, France",NON TROUVÉ,06 32 68 38 52,📍 Voir sur Maps,4.8,16,À QUALIFIER,AUCUN,5,0,"recommande, écoute, professionnel, réactif",—,"un grand merci à Stéphane Vauthier pour ses conseils et son professionnalisme ! Une belle rencontre ! je recommande à 200% | Merci à Mr Luca , très pro, très sympa et à l'écoute de ses clients. Je recommande vivement 👍👍 …",,,"Suisse Immo L'ISLE-SUR-LE-DOUBS : 16 avis Google | ✅ Force : recommande, écoute, professionnel, réactif | 🔥 0 site web → perd des mandats chaque jour"
Phénix Riviera conciergerie Cannes,Location saisonnière gestion,6,Cannes,"108 Av. Maurice Chevalier, 06150 Cannes, France",NON TROUVÉ,06 40 94 43 09,📍 Voir sur Maps,5.0,16,À QUALIFIER,AUCUN,5,0,"recommande, service, professionnel, confiance",—,Un service à la hauteur des standards très haut de gamme. Merci d’avoir pris soin de mes villas à Saint-Tropez et Cannes. Je vous recommande à mes contacts sur Cannes et Saint-Tropez. | J’ai eu le plaisir de collaborer a…,,,"Phénix Riviera conciergerie Cannes : 16 avis Google | ✅ Force : recommande, service, professionnel, confiance | 🔥 0 site web → perd des mandats chaque jour"
Ciel Azur Immobilier,Promoteur immobilier,38,Grenoble,"11 avenue Paul Verlaine, 6 rue Duguesclin, 38100 Grenoble, France",NON TROUVÉ,06 15 72 30 82,📍 Voir sur Maps,4.7,15,À QUALIFIER,AUCUN,5,0,"confiance, professionnel, disponible, écoute",—,"Grâce à Monsieur Gilbert Cuzou, la vente de mon studio a été non seulement mené à bien mais, surtout, dans des conditions de grande confiance, clarté, professionnalisme, honnêteté des évaluations et évolutions de la situ…",,,"Ciel Azur Immobilier : 15 avis Google | ✅ Force : confiance, professionnel, disponible, écoute | 🔥 0 site web → perd des mandats chaque jour"
Steeve Sciarli Immobilier,Mandataire immobilier,13,Aix-en-Provence,"475 Av. Pierre Puget, 13880 Velaux, France",NON TROUVÉ,06 68 81 77 00,📍 Voir sur Maps,5.0,13,À QUALIFIER,AUCUN,5,0,"rapide, professionnel, réactif, compétent",—,"J'ai eu le plaisir de travailler avec Steeve lors de l'achat de mon bien immobilier, et je ne peux que recommander ses services. Steeve est un professionnel à l'écoute, réactif et particulièrement impliqué dans son trava…",,,"Steeve Sciarli Immobilier : 13 avis Google | ✅ Force : rapide, professionnel, réactif, compétent | 🔥 0 site web → perd des mandats chaque jour"
Robin Chazalon – Agent immobilier Pays Basque,Administrateur de biens,64,Biarritz,"Rue du Ctre, 64200 Biarritz, France",NON TROUVÉ,06 09 65 07 30,📍 Voir sur Maps,5.0,13,À QUALIFIER,AUCUN,5,0,"rapide, recommande, écoute, efficace",—,"Merci a ROBIN pour sa gentillesse et son professionnalisme. Une personne à l'écoute, très positif. Vente de la maison rapide et vous en compagne jusqu'au bout. Je recommande car il est vraiment super | Robin a été un age…",,,"Robin Chazalon – Agent immobilier Pays Basque : 13 avis Google | ✅ Force : rapide, recommande, écoute, efficace | 🔥 0 site web → perd des mandats chaque jour"
Avignon-intramuros,Administrateur de biens,84,Avignon,"17 Rue de la Croix, 84000 Avignon, France",NON TROUVÉ,06 03 68 99 24,📍 Voir sur Maps,4.5,13,À QUALIFIER,AUCUN,4,1,agréable,—,"L'élégant centre-ville comprend le Palais des Papes, qui date du XIVe siècle et possède des chapelles et des fresques, ainsi que les vestiges du pont médiéval d'Avignon, qui enjambe le Rhône. La construction de la cathéd…",Décevant. Malgré une histoire et une architecture exceptionnelles.,,Avignon-intramuros : 13 avis Google | ✅ Force : agréable | 🔥 0 site web → perd des mandats chaque jour
Riviera Harmony Conciergerie,Location saisonnière gestion,6,Cannes,"10 Av. de Vallauris, 06400 Cannes, France",NON TROUVÉ,06 09 09 29 49,📍 Voir sur Maps,4.7,13,À QUALIFIER,AUCUN,5,0,"recommande, écoute, parfait, qualité",—,"Super conciergerie très pro et très à l’écoute de ses clients je recommande | J’ai connu Riviera Harmony en tant que voyageuse, en louant un appartement qu’ils géraient. Leur professionnalisme, leur écoute et la qualité …",,,"Riviera Harmony Conciergerie : 13 avis Google | ✅ Force : recommande, écoute, parfait, qualité | 🔥 0 site web → perd des mandats chaque jour"
BCB CONCEPT,Administrateur de biens,67,Strasbourg,"7 Rue de la Krutenau, 67000 Strasbourg, France",NON TROUVÉ,07 82 67 61 13,📍 Voir sur Maps,4.7,12,À QUALIFIER,AUCUN,5,0,"professionnel, recommande, compétent, service",—,"Entrepreneur très professionnel, très bon accompagnement pour la création de notre entreprise ainsi que le suivi de notre administration.  Nous vous recommandons ! | J’ai été très bien accueilli et conseiller par Yusuf j…",,,"BCB CONCEPT : 12 avis Google | ✅ Force : professionnel, recommande, compétent, service | 🔥 0 site web → perd des mandats chaque jour"
AP EXPERT GESTION CONSULTING Mathieu Polo/Alouis Emmanuel,Administrateur de biens,87,Limoges,"63 Rue Montmailler, 87000 Limoges, France",NON TROUVÉ,06 66 87 30 29,📍 Voir sur Maps,5.0,12,À QUALIFIER,AUCUN,5,0,"parfait, professionnel, excellent, écoute",—,Un accompagnement parfait du début à la fin. Un œil extérieur est indispensable pour nos entreprises et Mathieu a fait preuve de d'un grand professionnalisme et d'un conseil totalement neutre. | Un professionnel à l'écou…,,,"AP EXPERT GESTION CONSULTING Mathieu Polo/Alouis Emmanuel : 12 avis Google | ✅ Force : parfait, professionnel, excellent, écoute | 🔥 0 site web → perd des mandats chaque jour"
E.T Secrétariat - Assistante virtuelle,Administrateur de biens,45,Orléans,"11 Bd Alexandre Martin, 45000 Orléans, France",NON TROUVÉ,07 63 19 58 79,📍 Voir sur Maps,4.8,12,À QUALIFIER,AUCUN,4,1,"recommande, service, rapide, professionnel",mauvais,"J'ai fait aux services d'Elodie pendant 4 mois, et j'en ai été plus que ravie de notre collaboration. Elodie a su très vite s'adapter à mon rythme de travail, à ma communication et à mes besoins. Je ne peux que la recomm…","Edit du 02/11 Après plusieurs mois ou tout se passait bien, je découvre au fur et à mesure des erreurs, qui n'existaient pas avant et qui mettent à mal non seulement mon organisation mais aussi mon entreprise. J'en décou…",,"E.T Secrétariat - Assistante virtuelle : 12 avis Google | ✅ Force : recommande, service, rapide, professionnel | ⚠️ Plaintes : mauvais → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
Agence Bisontine Immobiliere,Location saisonnière gestion,25,Besançon,"5 Rue de l'École, 25000 Besançon, France",NON TROUVÉ,06 62 80 43 37,📍 Voir sur Maps,3.7,12,À QUALIFIER,AUCUN,3,2,"professionnel, recommande, écoute","réponse, délai, cher","Agence à taille humaine à laquelle j'ai eu recours pour la location de mon appartement. J'ai eu affaire à un agent très professionnel, chaleureux et à l'écoute. Je recommande ! | Très bonne expérience avec cette agence. …","Agence fantôme, j'ai eu un agent au téléphone pour visiter un appart. Rdv pris une après-midi à 17h. L'agent n'est jamais venu et n'a même pas prévenu d'un éventuel retard. Pour des frais d'agence exorbitants, on pourrai…",,"Agence Bisontine Immobiliere : 12 avis Google | ✅ Force : professionnel, recommande, écoute | ⚠️ Plaintes : réponse, délai, cher → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
PARDIMMO,Mandataire immobilier,13,Marseille,"232 Av. de Montolivet, 13012 Marseille, France",NON TROUVÉ,06 16 40 61 00,📍 Voir sur Maps,5.0,10,À QUALIFIER,AUCUN,5,0,"professionnel, efficace, disponible, recommande",—,"Communication claire, disponible en cas de besoin et toujours à l’écoute. La gestion est efficace et professionnelle. Je recommande sans hésitation. | Agence sérieuse et professionnelle. Très bon suivi, communication flu…",,,"PARDIMMO : 10 avis Google | ✅ Force : professionnel, efficace, disponible, recommande | 🔥 0 site web → perd des mandats chaque jour"
L’Étude Administrative,Administrateur de biens,84,Avignon,"93 Av. Saint-Ruf, 84000 Avignon, France",NON TROUVÉ,07 81 31 47 12,📍 Voir sur Maps,5.0,10,À QUALIFIER,AUCUN,5,0,"professionnel, recommande, excellent, écoute",—,"Très sérieuse et professionnel. J’étais très bien accompagné dans mes démarches administratives avec des explications claires, et un vrai suivi, gain de temps, énorme et beaucoup. Moins de stress, je recommande sans hési…",,,"L’Étude Administrative : 10 avis Google | ✅ Force : professionnel, recommande, excellent, écoute | 🔥 0 site web → perd des mandats chaque jour"
Amanda Hureau - Gestion Locative Adaptée ~ Groupement de Coopération Sociale et Médico-Sociale « Un chez-soi d’abord » REIMS,Agence immobilière,51,Reims,"2 Rue de Courcelles, 51100 Reims, France",NON TROUVÉ,07 75 66 10 42,📍 Voir sur Maps,5.0,9,À QUALIFIER,AUCUN,5,0,"efficace, disponible, écoute, rapide",—,"Une conseillère très à l'écoute, disponible et efficace ! Amanda a été soucieuse de voir aboutir notre projet et a vraiment tout fait pour nous faciliter les choses. | Un grand merci à Amanda pour son professionnalisme, …",,,"Amanda Hureau - Gestion Locative Adaptée ~ Groupement de Coopération Sociale et Médico-Sociale « Un chez-soi d’abord » REIMS : 9 avis Google | ✅ Force : efficace, disponible, écoute, rapide | 🔥 0 site web → perd des mandats chaque jour"
OCITY Pays Basque Sud Landes,Agence immobilière,64,Bayonne,"2 Rue Raoul Perpere, 64100 Bayonne, France",NON TROUVÉ,07 62 45 44 95,📍 Voir sur Maps,5.0,9,À QUALIFIER,AUCUN,5,0,"compétent, recommande, écoute, professionnel",—,"Contente de la vente de mon appartement grâce à l’équipe ocity. Une équipe pro, compétente et toujours à l’écoute. Je recommande ! | très bonne agence immobilière très a l écoute et ce décarcasse pour vous donnez satisfa…",,,"OCITY Pays Basque Sud Landes : 9 avis Google | ✅ Force : compétent, recommande, écoute, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Loggia Conciergerie,Location saisonnière gestion,13,Marseille,"21 Rue André Poggioli, 13006 Marseille, France",NON TROUVÉ,07 82 99 43 18,📍 Voir sur Maps,5.0,9,À QUALIFIER,AUCUN,5,0,"confiance, disponible, service, sérieux",—,"Expérience de location avec Loggia Conciergerie vraiment réussie ! J'ai mis en location ma maison en aout, après avoir contacté plusieurs agences sur Marseille qui m'ont laissé dubitative (et pratiquent des frais de gest…",,,"Loggia Conciergerie : 9 avis Google | ✅ Force : confiance, disponible, service, sérieux | 🔥 0 site web → perd des mandats chaque jour"
Louer & Gérer - Gestion Locative,Location saisonnière gestion,34,Montpellier,"80 Pl. Georges Frêche, 34000 Montpellier, France",NON TROUVÉ,06 72 36 23 38,📍 Voir sur Maps,4.2,9,À QUALIFIER,AUCUN,4,1,"professionnel, disponible, recommande, écoute",injoignable,Je suis très satisfait de l'agence de location Louer et Gérer qui est toujours disponible et à mon écoute pour géer mon bien. Je les recommande vivement si vous êtes propriétaire d'un appartement et si vous chercher un g…,"5 mois sans location !???? Injoignable par téléphone ? Beaucoup d'incompréhension depuis quelques mois , en cours de transition d une nouvelle entreprise, je suis dans le questionnement en temps que propriétaire. Donc j'…",,"Louer & Gérer - Gestion Locative : 9 avis Google | ✅ Force : professionnel, disponible, recommande, écoute | ⚠️ Plaintes : injoignable → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
PatrIMMOnium,Promoteur immobilier,13,Marseille,"137 Rue Paradis, 13006 Marseille, France",NON TROUVÉ,06 10 25 93 75,📍 Voir sur Maps,5.0,9,À QUALIFIER,AUCUN,5,0,"qualité, service, recommande",—,"J'ai connu le cabinet Patrimmonium dans le cadre de l'acquisition d'un appartement ancien dans le centre ville de Marseille. Je remercie toute l'équipe pour leur professionnalisme, la qualité de leur l'accompagnement, le…",,,"PatrIMMOnium : 9 avis Google | ✅ Force : qualité, service, recommande | 🔥 0 site web → perd des mandats chaque jour"
DAAJIMMO - Agence Troyes,Agence immobilière,10,Troyes,"31 Bis Rue des Noës, 10300 Sainte-Savine, France",NON TROUVÉ,07 53 51 64 70,📍 Voir sur Maps,4.9,8,À QUALIFIER,AUCUN,5,0,sérieux,—,"Au top rien à dire , très sérieux | Une agence au TOP . 🩷 | Oh top du top !!! | Au top 🩷",,,DAAJIMMO - Agence Troyes : 8 avis Google | ✅ Force : sérieux | 🔥 0 site web → perd des mandats chaque jour
Akim Jandoury - Consultant Immobilier,Mandataire immobilier,69,Lyon,"3 Quai Jean Moulin, 69001 Lyon, France",NON TROUVÉ,06 65 52 46 76,📍 Voir sur Maps,5.0,8,À QUALIFIER,AUCUN,5,0,"recommande, professionnel, parfait, confiance",—,"M. Jandoury est un agent immobilier que je recommande. Comme la grande majorité de ses confrères, il ne se content pas de passer une annonce sur Internet et d'attendre un éventuel acquéreur. Il utilise son réseau importa…",,,"Akim Jandoury - Consultant Immobilier : 8 avis Google | ✅ Force : recommande, professionnel, parfait, confiance | 🔥 0 site web → perd des mandats chaque jour"
WN Conseil,Administrateur de biens,38,Grenoble,"7 Pl. Condorcet, 38000 Grenoble, France",NON TROUVÉ,06 05 93 84 79,📍 Voir sur Maps,5.0,8,À QUALIFIER,AUCUN,5,0,"rapide, professionnel, service, recommande",—,"Un professionnel exemplaire , contact instantané via WhatsApp, réponse assurée .et service très rapide avec des tarifs très concurrentiels .merci WN | Merci beaucoup pour votre réactivité et compétences franchement rien …",,,"WN Conseil : 8 avis Google | ✅ Force : rapide, professionnel, service, recommande | 🔥 0 site web → perd des mandats chaque jour"
Appart Résidence BNB,Location saisonnière gestion,29,Brest,"9 Rue Saint-Saëns, 29200 Brest, France",NON TROUVÉ,07 56 85 40 00,📍 Voir sur Maps,3.0,8,À QUALIFIER,AUCUN,1,4,"excellent, parfait, recommande","lent, communication, réponse, mauvais","Rien à dire. Tout était parfait. Nous avons passé un superbe séjour. Logement très propre, communication excellente. Je recommande !!","Difficile de faire pire en matière de conciergerie!  cette tentaculaire entreprise propose des prestations qui semblent très professionnelles au premier abord.  Nous avons donc choisi de confier notre maison de famille, …",,"Appart Résidence BNB : 8 avis Google | ✅ Force : excellent, parfait, recommande | ⚠️ Plaintes : lent, communication, réponse, mauvais → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
Conciergerie - SUBLOC,Location saisonnière gestion,42,Saint-Étienne,"11 Rue Michel Rondet, 42000 Saint-Étienne, France",NON TROUVÉ,07 80 38 49 45,📍 Voir sur Maps,5.0,8,À QUALIFIER,AUCUN,5,0,"professionnel, excellent, recommande, écoute",—,"Excellente conciergerie ! Équipe professionnelle, réactive et très à l’écoute. Service de grande qualité et gestion impeccable. Je recommande sans hésiter ! | Je recommande vivement cette conciergerie, je suis entièremen…",,,"Conciergerie - SUBLOC : 8 avis Google | ✅ Force : professionnel, excellent, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
ADMIN'HOME (Audrey FALCONIERI),Administrateur de biens,42,Saint-Étienne,"4 All. des Primevères, 42100 Saint-Étienne, France",NON TROUVÉ,07 65 21 78 04,📍 Voir sur Maps,4.9,7,À QUALIFIER,AUCUN,5,0,"recommande, rapide, professionnel, efficace",—,"J'ai rencontré Audrey grâce à un club d'entrepreneur, et sa discrétion et son côté posé m'ont tout de suite plu. J'ai donc fait appel à elle pour gérer ma précomptabilité. Je suis très satisfait de son travail, la commun…",,,"ADMIN'HOME (Audrey FALCONIERI) : 7 avis Google | ✅ Force : recommande, rapide, professionnel, efficace | 🔥 0 site web → perd des mandats chaque jour"
Atlas Conciergerie France,Location saisonnière gestion,34,Montpellier,"Bd des Arceaux, 34000 Montpellier, France",NON TROUVÉ,07 70 41 29 60,📍 Voir sur Maps,5.0,7,À QUALIFIER,AUCUN,5,0,"professionnel, sérieux, recommande, qualité",—,"Hébergement de qualité, nous avons fait une réservation pour des clients, merci pour l'accueil et les indications claire, appartement très proche manques rien. Je recommande leurs sérieux professionnels. | Le service est…",,,"Atlas Conciergerie France : 7 avis Google | ✅ Force : professionnel, sérieux, recommande, qualité | 🔥 0 site web → perd des mandats chaque jour"
Loca Ren’t Conciergerie - Montpellier,Location saisonnière gestion,34,Montpellier,"3 Rue Adolphe Nourrit, 34000 Montpellier, France",NON TROUVÉ,06 45 19 99 86,📍 Voir sur Maps,5.0,7,À QUALIFIER,AUCUN,5,0,"confiance, recommande, service, professionnel",—,"Si on m'avait dit un jour que je pouvais faire confiance à une conciergerie pour s'occuper de mon appartement familiale, alors que je suis à plus de 700 km , je ne l'aurais pas cru . Un grand merci à Loca Rent pour leur …",,,"Loca Ren’t Conciergerie - Montpellier : 7 avis Google | ✅ Force : confiance, recommande, service, professionnel | 🔥 0 site web → perd des mandats chaque jour"
"Neovy Consulting, Agence Immobilière",Agence immobilière,73,Chambéry,"8 Bd Gambetta, 73000 Chambéry, France",NON TROUVÉ,06 83 33 38 53,📍 Voir sur Maps,5.0,6,À QUALIFIER,AUCUN,5,0,"efficace, excellent, parfait, agréable",—,"Accompagnement parfait de notre projet immobilier. Recherche efficace, pertinente, et excellent suivi des démarches jusqu'à la finalisation du projet. Contact toujours très agréable et sympathique! Nous recommandons vive…",,,"Neovy Consulting, Agence Immobilière : 6 avis Google | ✅ Force : efficace, excellent, parfait, agréable | 🔥 0 site web → perd des mandats chaque jour"
"DSA Services : Gestion de paie, Aide à la création d'entreprise, Suivi de gestion",Administrateur de biens,6,Nice,"9 Rue Caffarelli, 06000 Nice, France",NON TROUVÉ,06 51 47 51 25,📍 Voir sur Maps,5.0,6,À QUALIFIER,AUCUN,5,0,"compétent, recommande, confiance, écoute",—,"Amadou est un comptable à l'écoute et compétent. Aucun problèmes de communication contrairement aux autres comptables que j'ai pu avoir. aujourd'hui, je travaille en toute confiance et dans la bonne ambiance. Je recomman…",,,"DSA Services : Gestion de paie, Aide à la création d'entreprise, Suivi de gestion : 6 avis Google | ✅ Force : compétent, recommande, confiance, écoute | 🔥 0 site web → perd des mandats chaque jour"
Laetitia SCHAFF Assistante Administrative Indépendante RH Commerciale Gestion FreeLance Nîmes,Administrateur de biens,30,Nîmes,"18 Rue Auguste, 30000 Nîmes, France",NON TROUVÉ,07 82 08 84 35,📍 Voir sur Maps,5.0,6,À QUALIFIER,AUCUN,5,0,"recommande, disponible, efficace, écoute",—,Nous travaillons avec Laetitia depuis bientôt 2 ans. Elle gère l'ensemble de nos tâches administratives et RH pour notre structure de 10 personnes. Laetitia est une personne très fiable qui ne compte pas ses heures. Elle…,,,"Laetitia SCHAFF Assistante Administrative Indépendante RH Commerciale Gestion FreeLance Nîmes : 6 avis Google | ✅ Force : recommande, disponible, efficace, écoute | 🔥 0 site web → perd des mandats chaque jour"
Ghurfat Sharqa,Location saisonnière gestion,37,Tours,"32 Rue de la Tonnelle, 37700 Saint-Pierre-des-Corps, France",NON TROUVÉ,07 67 35 45 51,📍 Voir sur Maps,5.0,6,À QUALIFIER,AUCUN,5,0,"rapide, efficace, disponible, recommande",—,"Super conciergerie, 100% disponible à toute heure pour les voyageurs et les propriétaires novices. J'ai rencontré quelques incidents voyageurs qu'elle a su efficacement et rapidement résoudre. Je recommande! | J’ai séjou…",,,"Ghurfat Sharqa : 6 avis Google | ✅ Force : rapide, efficace, disponible, recommande | 🔥 0 site web → perd des mandats chaque jour"
Christophe Cazaux - Conseiller immobilier et Estimation - Toulouse et ses environs,Mandataire immobilier,31,Toulouse,"20 BIS Imp. Barthe, 31200 Toulouse, France",NON TROUVÉ,06 81 19 82 18,📍 Voir sur Maps,4.2,5,À QUALIFIER,AUCUN,4,1,professionnel,—,"Concernant la vente d'une maison dans les environs de Toulouse, j'ai signé un mandat avec Mr cazaux. Il s'est occupe de tout. Il a fait les visites, mêmes avec des visiteurs exigeants et décalés . La Dpe a été effectué s…","Ne pas prendre d' Airbnb chez lui, vous serez surpris de la note de frais lors de votre départ !",,Christophe Cazaux - Conseiller immobilier et Estimation - Toulouse et ses environs : 5 avis Google | ✅ Force : professionnel | 🔥 0 site web → perd des mandats chaque jour
RAPALLO Aurore Conseillère immobilier ENDIE DIJON,Mandataire immobilier,21,Dijon,"1 Rue du Bas de Chanot, 21800 Chevigny-Saint-Sauveur, France",NON TROUVÉ,07 66 51 97 97,📍 Voir sur Maps,4.2,5,À QUALIFIER,AUCUN,4,1,"disponible, recommande, écoute, professionnel",—,"Aurore est une personne réactive, à l'écoute et dévouée. Je suis vraiment ravie de son professionnalisme, accompagnement de A à Z, toujours disponible. Je la recommande les yeux fermés. | Je recommande les yeux fermés ,t…",,,"RAPALLO Aurore Conseillère immobilier ENDIE DIJON : 5 avis Google | ✅ Force : disponible, recommande, écoute, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Vaglio Eric Conseiller Immobilier OPTIMHOME Cabriès,Mandataire immobilier,13,Aix-en-Provence,"Rte de la Cesarde, 13480 Cabriès, France",NON TROUVÉ,06 66 51 88 78,📍 Voir sur Maps,5.0,5,À QUALIFIER,AUCUN,5,0,"disponible, compétent, parfait, écoute",—,Mr. Vaglio nous a accompagné dans notre projet d’acquisition d’une maison. Il a bien compris nos attentes et a su nous proposer un bien qui nous correspondait. Il a été disponible et a facilité les échanges avec les anci…,,,"Vaglio Eric Conseiller Immobilier OPTIMHOME Cabriès : 5 avis Google | ✅ Force : disponible, compétent, parfait, écoute | 🔥 0 site web → perd des mandats chaque jour"
La Boutique Administrative,Administrateur de biens,13,Aix-en-Provence,"23 Rue des Muletiers, 13100 Aix-en-Provence, France",NON TROUVÉ,06 08 94 92 08,📍 Voir sur Maps,1.8,5,À QUALIFIER,AUCUN,1,4,—,"arnaque, problème","Une personne d'expérience pour aborder la plupart des difficultés dans la création d'entreprise : rédaction des statuts, préparation des divers documents et démarche ... Super","Arnaque. Je suis arrivée en tant qu'entrepreneuse automobile, une Américaine un peu perdue qui essayait de comprendre les règles, ce que je devais, quand, et comment facturer. Elle a examiné mon chiffre d'affaires des an…",,"La Boutique Administrative : 5 avis Google | ⚠️ Plaintes : arnaque, problème → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
Secretariat antibes,Administrateur de biens,6,Antibes,"GALERIE CHANCEL, 12 Bd Gustave Chancel, 06600 Antibes, France",NON TROUVÉ,07 58 34 44 72,📍 Voir sur Maps,5.0,5,À QUALIFIER,AUCUN,5,0,"professionnel, recommande",—,"Enfin une adresse sur antibes pour ce genre de prestation. mercii madame pour votre réactivité pour mon dossier qui trainer depuis des mois qui a été fait en 1h !!! merciii | Personne tres professionnel je recommande, ce…",,,"Secretariat antibes : 5 avis Google | ✅ Force : professionnel, recommande | 🔥 0 site web → perd des mandats chaque jour"
Boitaclés,Location saisonnière gestion,66,Perpignan,"13 Rue Auguste Comté, 66000 Perpignan, France",NON TROUVÉ,06 24 12 19 14,📍 Voir sur Maps,5.0,5,À QUALIFIER,AUCUN,5,0,"compétent, confiance, service, agréable",—,"L’équipe de Boitacles est extrêmement compétente. Elle s’est occupée, au pied levé, de la location saisonnière de notre appartement juste avant sa mise en vente, et après une expérience difficile avec une précédente conc…",,,"Boitaclés : 5 avis Google | ✅ Force : compétent, confiance, service, agréable | 🔥 0 site web → perd des mandats chaque jour"
Conciergerie AirBnB Les minutieuses,Location saisonnière gestion,25,Besançon,"14 Rue Pierre Vernier, 25000 Besançon, France",NON TROUVÉ,06 33 20 99 14,📍 Voir sur Maps,5.0,5,À QUALIFIER,AUCUN,5,0,"parfait, recommande, professionnel, sérieux",—,Merci à Charline et Anaïs pour le professionnalisme qui se sont occupés de gérer mon airbnb durant mes vacances (un mois et demi). Elles se sont parfaitement adaptées à mes exigences vis à vis de mon logement ainsi que d…,,,"Conciergerie AirBnB Les minutieuses : 5 avis Google | ✅ Force : parfait, recommande, professionnel, sérieux | 🔥 0 site web → perd des mandats chaque jour"
Wilson Plaza Group,Promoteur immobilier,6,Nice,"8, rue Foncet, 18, rue de l'Hôtel des Postes, 06000 Nice, France",NON TROUVÉ,06 22 51 30 79,📍 Voir sur Maps,5.0,5,À QUALIFIER,AUCUN,5,0,excellent,—,"Une incroyable prouesse architecturale qui réconcilie Tradition et Modernité, avec le luxe suprême de vastes terrasses en plein centre de Nice. | Le meilleur emplacement pour vivre, sur la Côte d'Azur ! Un projet excepti…",,,Wilson Plaza Group : 5 avis Google | ✅ Force : excellent | 🔥 0 site web → perd des mandats chaque jour
